Name,Inflation 2017,Inflation 2018,Inflation 2019,Inflation 2020,Inflation 2021
Allan Hancock Joint,1.95,2.13,1.99,2.34,5.5
Antelope Valley,1.95,2.13,1.99,2.34,5.5
Barstow,1.95,2.13,1.99,2.34,5.5
Butte,1.95,2.13,1.99,2.34,5.5
Cabrillo,1.95,2.13,1.99,2.34,5.5
Cerritos,1.95,2.13,1.99,2.34,5.5
Chabot-Las Positas,1.95,2.13,1.99,2.34,5.5
Chaffey,1.95,2.13,1.99,2.34,5.5
Citrus,1.95,2.13,1.99,2.34,5.5
Coast,1.95,2.13,1.99,2.34,5.5
Compton,1.95,2.13,1.99,2.34,5.5
Contra Costa,1.95,2.13,1.99,2.34,5.5
Copper Mountain,1.95,2.13,1.99,2.34,5.5
Desert,1.95,2.13,1.99,2.34,5.5
El Camino,1.95,2.13,1.99,2.34,5.5
Feather River,1.95,2.13,1.99,2.34,5.5
Foothill-DeAnza,1.95,2.13,1.99,2.34,5.5
Gavilan,1.95,2.13,1.99,2.34,5.5
Glendale,1.95,2.13,1.99,2.34,5.5
Grossmont-Cuyamaca,1.95,2.13,1.99,2.34,5.5
Hartnell,1.95,2.13,1.99,2.34,5.5
Imperial,1.95,2.13,1.99,2.34,5.5
Kern,1.95,2.13,1.99,2.34,5.5
Lake Tahoe,1.95,2.13,1.99,2.34,5.5
Lassen,1.95,2.13,1.99,2.34,5.5
Long Beach,1.95,2.13,1.99,2.34,5.5
Los Angeles,1.95,2.13,1.99,2.34,5.5
Los Rios,1.95,2.13,1.99,2.34,5.5
Marin,1.95,2.13,1.99,2.34,5.5
Mendocino-Lake,1.95,2.13,1.99,2.34,5.5
Merced,1.95,2.13,1.99,2.34,5.5
Mira Costa,1.95,2.13,1.99,2.34,5.5
Monterey Peninsula,1.95,2.13,1.99,2.34,5.5
Mt. San Antonio,1.95,2.13,1.99,2.34,5.5
Mt. San Jacinto,1.95,2.13,1.99,2.34,5.5
Napa Valley,1.95,2.13,1.99,2.34,5.5
North Orange County,1.95,2.13,1.99,2.34,5.5
Ohlone,1.95,2.13,1.99,2.34,5.5
Palo Verde,1.95,2.13,1.99,2.34,5.5
Palomar,1.95,2.13,1.99,2.34,5.5
Pasadena Area,1.95,2.13,1.99,2.34,5.5
Peralta,1.95,2.13,1.99,2.34,5.5
Rancho Santiago,1.95,2.13,1.99,2.34,5.5
Redwoods,1.95,2.13,1.99,2.34,5.5
Rio Hondo,1.95,2.13,1.99,2.34,5.5
Riverside,1.95,2.13,1.99,2.34,5.5
San Bernardino,1.95,2.13,1.99,2.34,5.5
San Diego,1.95,2.13,1.99,2.34,5.5
San Francisco,1.95,2.13,1.99,2.34,5.5
San Joaquin Delta,1.95,2.13,1.99,2.34,5.5
San Jose/Evergreen,1.95,2.13,1.99,2.34,5.5
San Luis Obispo County,1.95,2.13,1.99,2.34,5.5
San Mateo County,1.95,2.13,1.99,2.34,5.5
Santa Barbara,1.95,2.13,1.99,2.34,5.5
Santa Clarita,1.95,2.13,1.99,2.34,5.5
Santa Monica,1.95,2.13,1.99,2.34,5.5
Sequoias,1.95,2.13,1.99,2.34,5.5
Shasta-Tehama-Trinity Joint,1.95,2.13,1.99,2.34,5.5
Sierra Joint,1.95,2.13,1.99,2.34,5.5
Siskiyou Joint,1.95,2.13,1.99,2.34,5.5
Solano County,1.95,2.13,1.99,2.34,5.5
Sonoma County,1.95,2.13,1.99,2.34,5.5
South Orange County,1.95,2.13,1.99,2.34,5.5
Southwestern,1.95,2.13,1.99,2.34,5.5
State Center,1.95,2.13,1.99,2.34,5.5
Ventura County,1.95,2.13,1.99,2.34,5.5
Victor Valley,1.95,2.13,1.99,2.34,5.5
West Hills,1.95,2.13,1.99,2.34,5.5
West Kern,1.95,2.13,1.99,2.34,5.5
West Valley-Mission,1.95,2.13,1.99,2.34,5.5
Yosemite,1.95,2.13,1.99,2.34,5.5
Yuba,1.95,2.13,1.99,2.34,5.5