College,City,City Rent (yearly),Monthly Income,City Rent (monthly),Salary,Community College District,City's Rent-to-Income (%),30% of Salary
College of Alameda,Alameda,"$25,272","$3,509","$2,106","$42,105",Peralta,60,"$12,632"
Berkeley City College,Berkeley,"$22,632","$3,509","$1,886","$42,105",Peralta,53.8,"$12,632"
Diablo Valley College - Larger Campus,San Ramon,"$30,684","$5,210","$2,557","$62,520",Contra Costa,49.1,"$18,756"
"Merritt College, Laney College",Oakland,"$20,112","$3,509","$1,676","$42,105",Peralta,47.8,"$12,632"
Ohlone College - Campus,Fremont,"$31,092","$5,837","$2,591","$70,047",Ohlone,44.4,"$21,014"
Los Medanos College - Center,Brentwood,"$26,976","$5,210","$2,248","$62,520",Contra Costa,43.1,"$18,756"
Diablo Valley College - Smaller Campus,Pleasant Hill,"$26,940","$5,210","$2,245","$62,520",Contra Costa,43.1,"$18,756"
Las Positas College,Livermore,"$27,756","$5,390","$2,313","$64,683",Chabot-Las Positas,42.9,"$19,405"
Ohlone College - Center,Newark,"$29,100","$5,837","$2,425","$70,047",Ohlone,41.5,"$21,014"
Chabot College,Hayward,"$24,852","$5,390","$2,071","$64,683",Chabot-Las Positas,38.4,"$19,405"
Los Medanos College - Campus,Pittsburg,"$23,796","$5,210","$1,983","$62,520",Contra Costa,38.1,"$18,756"
Contra Costa College,San Pablo,"$20,208","$5,210","$1,684","$62,520",Contra Costa,32.3,"$18,756"